Unnamed: 0,Name,Address,GM Name,Country,City,LinkedIn URL
0,Mövenpick Resort Khao Yai,"Nakornratch, T Wangsai A, Pak Chong District, Nakhon Ratchasima 30130, Thailand",No data available.,Thailand,Nakhon Ratchasima 30130,
1,Pullman Khon Kaen Raja Orchid,"9, 9 Prachasumran Road, Nai Mueang, Muang, Khon Kaen 40000, Thailand",Stanley Chan,Thailand,Khon Kaen 40000,https://th.linkedin.com/in/stanley-chan-39a14710
2,Novotel Bangkok Future Park Rangsit,"114 Phahonyothin Rd, Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",,Thailand,Pathum Thani 12130,
3,ibis Bangkok IMPACT,"93 Popular Road, Banmai Subdistrict, NONTHABURI, 11120, Thailand",No data available.,Thailand,11120,
4,Novotel Bangkok Impact,"94 Popular Rd, Tambon Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",,Thailand,Nonthaburi 11120,
5,ibis Styles Bangkok Ratchada,"212 Ratchadaphisek Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310, Thailand",No information available.,Thailand,Bangkok 10310,
6,Swissôtel Bangkok Ratchada,"204 Ratchadaphisek Rd, Huai Khwang, Khet Huai Khwang, Bangkok 10320, Thailand",No data available.,Thailand,Bangkok 10320,
7,Pullman Bangkok King Power,"8, 2 Rang Nam Alley, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400, Thailand",Luc Bollen.,Thailand,Bangkok 10400,https://hk.linkedin.com/in/ljjbollen
8,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Rd, Khwaeng Makkasan, Khet Ratchathewi, Bangkok 10400, Thailand",,Thailand,Bangkok 10400,
9,Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Bangkok 10310, Thailand",Orawan Vicharnarong,Thailand,Bangkok 10310,https://th.linkedin.com/in/orawan-vicharnarong-8550a9123
10,Mövenpick Resort Khao Yai,"Nakornratch, T Wangsai A, Pak Chong District, Nakhon Ratchasima 30130, Thailand",No data available.,Thailand,Nakhon Ratchasima 30130,
11,Pullman Khon Kaen Raja Orchid,"9, 9 Prachasumran Road, Nai Mueang, Muang, Khon Kaen 40000, Thailand",Stanley Chan,Thailand,Khon Kaen 40000,https://th.linkedin.com/in/stanley-chan-39a14710
12,Novotel Bangkok Future Park Rangsit,"114 Phahonyothin Rd, Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",,Thailand,Pathum Thani 12130,
13,ibis Bangkok IMPACT,"93 Popular Road, Banmai Subdistrict, NONTHABURI, 11120, Thailand",Vinod Singh Negi.,Thailand,11120,https://th.linkedin.com/in/vinod-singh-negi-1a475024
14,Novotel Bangkok Impact,"94 Popular Rd, Tambon Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",Norman Cross,Thailand,Nonthaburi 11120,https://sg.linkedin.com/in/norman-cross-3617368
15,ibis Styles Bangkok Ratchada,"212 Ratchadaphisek Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310, Thailand",,Thailand,Bangkok 10310,
16,Swissôtel Bangkok Ratchada,"204 Ratchadaphisek Rd, Huai Khwang, Khet Huai Khwang, Bangkok 10320, Thailand",,Thailand,Bangkok 10320,
17,Pullman Bangkok King Power,"8, 2 Rang Nam Alley, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400, Thailand",Luc Bollen,Thailand,Bangkok 10400,https://hk.linkedin.com/in/ljjbollen
18,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Rd, Khwaeng Makkasan, Khet Ratchathewi, Bangkok 10400, Thailand",No information is provided about the General Manager of Mercure Bangkok Makkasan in the search results.,Thailand,Bangkok 10400,https://th.linkedin.com/in/pornthip-kulphatnirund-040a12212
19,Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Bangkok 10310, Thailand",Roger Parnow,Thailand,Bangkok 10310,https://th.linkedin.com/in/roger-parnow-5a372185
20,Novotel Bangkok Platinum Pratunam,"220 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",,Thailand,Bangkok 10400,
21,Mövenpick BDMS Wellness Resort Bangkok,"2 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",No data available.,Thailand,Bangkok 10330,
22,VIE Hotel Bangkok - MGallery,"117 39, 40 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",Nicolas Peth,Thailand,Bangkok 10400,https://th.linkedin.com/in/nicpeth
23,Mercure Bangkok Sukhumvit 11,"18 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10110,https://bg.linkedin.com/in/nikolay-stoyanov-4301172
24,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jay Sudhakaran,Thailand,Bangkok 10110,https://th.linkedin.com/in/jay-sudhakaran-713a8519
25,Grand Mercure Bangkok Asoke Residence,"50, 5 Sukhumvit 19 Alley, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
26,Novotel Bangkok Ploenchit Sukhumvit,"566 Phloen Chit Rd, Khwaeng Lumphini, Pathum Wan, Bangkok 10330, Thailand",,Thailand,Bangkok 10330,
27,Mercure Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Orawan Vicharnarong,Thailand,Bangkok 10330,https://th.linkedin.com/in/orawan-vicharnarong-8550a9123
28,ibis Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10330,https://bg.linkedin.com/in/nikolay-stoyanov-4301172
29,Novotel Bangkok on Siam Square,"392, 44 Siam Square Soi 6, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand",Orawan Vicharnarong,Thailand,Bangkok 10330,https://th.linkedin.com/in/orawan-vicharnarong-8550a9123
30,Mövenpick Resort Khao Yai,"Nakornratch, T Wangsai A, Pak Chong District, Nakhon Ratchasima 30130, Thailand",,Thailand,Nakhon Ratchasima 30130,
31,Pullman Khon Kaen Raja Orchid,"9, 9 Prachasumran Road, Nai Mueang, Muang, Khon Kaen 40000, Thailand",Stanley Chan,Thailand,Khon Kaen 40000,https://th.linkedin.com/in/stanley-chan-39a14710
32,Novotel Bangkok Future Park Rangsit,"114 Phahonyothin Rd, Prachathipat, Thanyaburi District, Pathum Thani 12130, Thailand",No data available.,Thailand,Pathum Thani 12130,
33,ibis Bangkok IMPACT,"93 Popular Road, Banmai Subdistrict, NONTHABURI, 11120, Thailand",Patcharaporn Rattanasaenghirun,Thailand,11120,https://th.linkedin.com/in/patcharaporn-rattanasaenghirun-9aa826184
34,Novotel Bangkok Impact,"94 Popular Rd, Tambon Ban Mai, Pak Kret District, Nonthaburi 11120, Thailand",,Thailand,Nonthaburi 11120,
35,ibis Styles Bangkok Ratchada,"212 Ratchadaphisek Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Bangkok 10310, Thailand",,Thailand,Bangkok 10310,
36,Swissôtel Bangkok Ratchada,"204 Ratchadaphisek Rd, Huai Khwang, Khet Huai Khwang, Bangkok 10320, Thailand",No information is provided about the General Manager of Swissôtel Bangkok Ratchada in the search results.,Thailand,Bangkok 10320,https://th.linkedin.com/in/bruno-rotschaedl-hotelier
37,Pullman Bangkok King Power,"8, 2 Rang Nam Alley, Khwaeng Thanon Phaya Thai, Khet Ratchathewi, Bangkok 10400, Thailand",Luc Bollen.,Thailand,Bangkok 10400,https://hk.linkedin.com/in/ljjbollen
38,Mercure Bangkok Makkasan,"1599 Kamphaeng Phet 7 Rd, Khwaeng Makkasan, Khet Ratchathewi, Bangkok 10400, Thailand",No information is provided about the General Manager of Mercure Bangkok Makkasan in the search results.,Thailand,Bangkok 10400,https://th.linkedin.com/in/pornthip-kulphatnirund-040a12212
39,Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Bangkok 10310, Thailand",Roger Parnow,Thailand,Bangkok 10310,https://th.linkedin.com/in/roger-parnow-5a372185
40,Novotel Bangkok Platinum Pratunam,"220 Phetchaburi Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",No data available.,Thailand,Bangkok 10400,
41,Mövenpick BDMS Wellness Resort Bangkok,"2 Witthayu Rd, Lumphini, Pathum Wan, Bangkok 10330, Thailand",Tarin Luechaijam,Thailand,Bangkok 10330,https://th.linkedin.com/in/tarin-luechaikam-123b51293
42,VIE Hotel Bangkok - MGallery,"117 39, 40 Phaya Thai Rd, Khwaeng Thanon Phetchaburi, Khet Ratchathewi, Bangkok 10400, Thailand",Nicolas Peth,Thailand,Bangkok 10400,https://th.linkedin.com/in/nicpeth
43,Mercure Bangkok Sukhumvit 11,"18 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
44,Mövenpick Hotel Sukhumvit 15 Bangkok,"47 Sukhumvit 15, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Jay Sudhakaran,Thailand,Bangkok 10110,https://th.linkedin.com/in/jay-sudhakaran-713a8519
45,Grand Mercure Bangkok Asoke Residence,"50, 5 Sukhumvit 19 Alley, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
46,Novotel Bangkok Ploenchit Sukhumvit,"566 Phloen Chit Rd, Khwaeng Lumphini, Pathum Wan, Bangkok 10330, Thailand",,Thailand,Bangkok 10330,
47,Mercure Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Orawan Vicharnarong,Thailand,Bangkok 10330,https://th.linkedin.com/in/orawan-vicharnarong-8550a9123
48,ibis Bangkok Siam,"927 Rama I Rd, Wangmai, Pathum Wan, Bangkok 10330, Thailand",Raphael Hirsch,Thailand,Bangkok 10330,https://th.linkedin.com/in/raphael-hirsch-91357436
49,Novotel Bangkok on Siam Square,"392, 44 Siam Square Soi 6, Khwaeng Pathum Wan, Pathum Wan, Bangkok 10330, Thailand",Gerald Hougardy,Thailand,Bangkok 10330,https://th.linkedin.com/in/gerald-hougardy-a75b97237?trk=public_post-text
50,Sofitel Bangkok Sukhumvit,"189 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Bangkok 10110, Thailand",Pana,Thailand,Bangkok 10110,https://th.linkedin.com/in/pana-ungkap-5b1731123
51,TRIBE Living Bangkok Sukhumvit 39,"122 Soi Sukhumvit 39, Khwaeng Khlong Tan Nuea, Watthana, Bangkok 10110, Thailand",Chef Natra,Thailand,Bangkok 10110,https://id.linkedin.com/in/donald-tampubolon-90321a296
52,Novotel Suites Bangkok Sukhumvit 39,"5/9 Soi Phromsri, Soi Sukhumvit 39, Klongton-nua, Watthana, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
53,Novotel Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",Denis,Thailand,Bangkok 10110,https://th.linkedin.com/in/dennis-trawnitschek-7b3a8a3
54,ibis Styles Bangkok Sukhumvit 4,"27 Sukhumvit 4 Alley, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",,Thailand,Bangkok 10110,
55,ibis Bangkok Sukhumvit 4,"41 Sukhumvit Rd, Khwaeng Khlong Toei, Khet Khlong Toei, Bangkok 10110, Thailand",Vinod Singh Negi,Thailand,Bangkok 10110,https://th.linkedin.com/in/vinod-singh-negi-1a475024
56,Novotel Living Bangkok Sukhumvit Legacy,"12-14 Sukhumvit 29 Alley Klong Toey Nua, Bangkok 10110, Thailand",Nikolay Stoyanov.,Thailand,Bangkok 10110,https://bg.linkedin.com/in/nikolay-stoyanov-4301172
57,Novotel Bangkok Sukhumvit 20,"19/9 Sukhumvit 20 Alley, Khwaeng Khlong Toei, Khlong Toei, Bangkok 10110, Thailand",Nikolay Stoyanov,Thailand,Bangkok 10110,https://bg.linkedin.com/in/niksto
58,Mercure Bangkok Sukhumvit 24,"5, 1 Sukhumvit Rd, Khlong Tan, Khet Khlong Toei, Bangkok 10110, Thailand",Boima Harris,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
59,Ibis Bangkok Sukhumvit 24,"5, 1 Sukhumvit 24 Road, Khwaeng Khlong Tan, Khet Khlong Toei, Bangkok 10110, Thailand",No information is available about the General Manager of Ibis Bangkok Sukhumvit 24.,Thailand,Bangkok 10110,https://th.linkedin.com/in/boima-harris-92192870
60,Mövenpick Resort Khao Yai,"Nakornratch, T Wangsai A, Pak Chong District, Nakhon Ratchasima 30130, Thailand",No data available.,Thailand,Nakhon Ratchasima 30130,
