Hotel Name,Second Span Text,Link URL,Ownership,Management,Mission,Star_Rating,clean_ownership
137 PILLARS SUITES & RESIDENCES BANGKOK,Bangkok,http://www.137pillarsbangkok.com/,"137 Pillars Hotels and Resorts (Thailand) Co., Ltd. owns 100% of the hotel",The hotel is self-managed,"At 137 Pillars Suites & Residences Bangkok, we redefine luxury living through a blend of heritage and modernity, offering unparalleled personalized experiences that leave a lasting impression on our guests.",5,"137 Pillars Hotels and Resorts (Thailand) Co., Ltd."
7 DAYS PREMIUM HOTEL,Bangkok,https://www.facebook.com/7DaysPremiumHotel.DonMueangAirport/,7 Days Group owns 100% of the hotel,,"Experience comfort and convenience in a vibrant setting, where every day feels like a premium stay.",4,7 Days Group
ADELPHI FORTY NINE,Bangkok,http://www.adelphi49.com/,Adelphi Group owns 100% of ADELPHI FORTY NINE,"Independent management, no specific group","At ADELPHI FORTY NINE, we redefine luxury, blending modern elegance with personalized service to create an unforgettable experience.",4,Adelphi Group
THE AETAS LUMPINI,Bangkok,http://www.aetashotels.com/,"AETAS Hotels & Residences Co., Ltd. owns 100% of THE AETAS LUMPINI","Managed by AETAS Hotels & Residences Co., Ltd.","At THE AETAS LUMPINI, we redefine urban luxury living through personalized experiences that elevate your stay to unforgettable heights.",5,"AETAS Hotels & Residences Co., Ltd."
AKARA HOTEL,Bangkok,http://www.akarahotel.com/,Akara Hospitality Group owns 70% of AKARA HOTEL,AKARA HOTEL is self-managed,"At AKARA HOTEL, we redefine luxury through personalized experiences that embrace the essence of local culture.",4,Akara Hospitality Group
AL MEROZ HOTEL BANGKOK,Bangkok,http://almerozhotel.com/,Al Meroz Company Ltd. owns 100% of the hotel,The hotel is self-managed,Embrace the serenity of Islamic hospitality in the heart of Bangkok,4,Al Meroz Company Ltd.
ALEXANDER HOTEL BANGKOK,Bangkok,http://alexanderhotel.co.th/,Alexander Hospitality Group owns 75% of the hotel,The property is managed by Alexander Management Services,"At Alexander Hotel Bangkok, we redefine luxury with a touch of Thai hospitality.",4,Alexander Hospitality Group
AMANTA HOTEL & RESIDENCE RATCHADA,Bangkok,https://visitamanta.com/ratchada/contact-us/,Amanta Group owns 100% of the hotel,Self-managed,"At Amanta Hotel & Residence Ratchada, we aim to create a cozy home away from home experience for our guests, blending modern comforts with personalized service.",4,Amanta Group
AMANTA HOTEL & RESIDENCE SATHORN,Bangkok,https://visitamanta.com/th/sathorn/,Amanta Group owns 100% of the hotel,Managed independently,Where modern luxury meets warm hospitality,4,Amanta Group
AMARA BANGKOK,Bangkok,http://bangkok.amarahotels.com/,"AMARA Hotels & Resorts, 100%",AMARA Hotels & Resorts,Where Bangkok's vibrant energy meets unparalleled hospitality - your urban oasis in the heart of the city.,4,AMARA Hotels & Resorts
