id,name,address,city,phone,email,website
อาษา 1-0257,"Jai Group Co., Ltd.","Lake Rajada Office Complex Building 193/35 Unit A1, 10th Floor, Ratchadaphisek Road, Klongtoey, Klongtoey 10110",Bangkok,"093-598-8445,",,www.jai.co.th
อาษา 1-0150,"AMA Design Studio Co., Ltd.","51/13 Soi Phongvej Memorial School, Sukhumvit Road, Bangchak, Prakanong 10260",Bangkok,"0-2741-5417-8, 091-789-6441",,www.amadesignstudio.net
อาษา 1-0181,"Gateway Architect Co., Ltd.","30/17 Soi Ngamwongwan 47 Yak 3 (Chin District 2/3), Thung Song Hong, Laksi 10210",Bangkok,"0-2550-5148, 06-2963-9946",,
อาษา 1-0207,"M.A.R. Co., Ltd.","121/92 RS Tower, 33rd Floor, Ratchadaphisek Road, Din Daeng Subdistrict, Din Daeng District, 10310",Bangkok,02-642-3330,,
อาษา 1-0248,"Studio Architects Co., Ltd.","23/34-35 5th Floor, Room 5B, Trimitr Road, Talad Noi Subdistrict, Samphanthawong District 10100",Bangkok,"0-2639-1642, 09-9965-4969",,http://www.stu-d-o.com
อาษา 1-0256,"Creative teachers Co., Ltd.","177/39-40 Chodek Alley, Talad Noi Subdistrict, Samphanthawong District 10100",Bangkok,"0-2238-3714, 09-7238-3714",,http://creative-crews.com
อาษา 3-0246,"Integrated field Co., Ltd.","753/2 Somdej Chao Taksin Road, Dao Khanong, Thonburi 10600",Bangkok,"0-2476-8876, 08-9857-1246",,www.integratedfield.com
อาษา 1-0035,"760 I Architect & Consultant Co., Ltd.","355 Soi Sukhumvit 50, Phra Khanong, Khlong Toei 10260",Bangkok,"0-2742-7303-4, 09-0989-4155",,www.760i.com
อาษา 1-0131,"Duangrit Bunnag Co., Ltd.","88 Working space (rooftop) 96 Krung Thon Buri Road, Bang Lam Phu Lung, Khlong San 10600",Bangkok,062-596-1611,,www.dbalp.com
อาษา 1-0249,"De Seine Studio Co., Ltd.","161/1075 Soi Charoen Sanitwong 27, Charansanitwong Road, Bangkhunsri, Bangkoknoi 10700",Bangkok,"0-2410-2282, 08-1401-0135",,www.dersynstudio.com
อาษา 1-0273,"Architect tricks Co., Ltd.","55 Manosirikul Building, 7th Floor, Room No. 7/2, Ratchadaphisek Road, Bang Phongphang, Yannawa 10120",Bangkok,"099-006-4966,",,https://looklen.com/
อาษา 1-0170,"Februar Image Co., Ltd.","136/2 Krung Thonburi Road, Khlong Ton Sai Subdistrict, Khlong San District 10",Bangkok,"0-2437-2387-9, 09-971-0764",,www.februar.co.th
อาษา 1-0188,"Progressive building management Co., Ltd.","105 Soi Onnut 32, Onnut Road, Onnut, Suanluang 10250",Bangkok,"0-2332-1115-6, 08-1823-1306",,www//pbm.co.th
อาษา 1-0224,"Minimaxist Co., Ltd.","999/31 Ketsineeville Village Soi 3, Prachautid Road, Samsennok, Huai Khwang 10310",Bangkok,"0-2274-3461, 086-403-5550",,www.minimaxist.com
อาษา 1-0228,"Ethylier OF Akitescs Co., Ltd.","33 Soi Rama 9 51 (Seri 6 Road), Pattanakarn, Suanluang 10250",Bangkok,"0-2612-3835, 095-531-3672",,atir.co.th
อาษา 1-0283,"Workwell Studio Co., Ltd.","6 Soi Sukhumvit 97, Bangchak, Prakanong 10260",Bangkok,"0-2333-0789, 091-884-1572",,http://workwell-studio.com/
อาษา 1-0320,"PSE Consulting Co., Ltd.","32/13-15 1-2th Floor, Sukhumvit 21 (Asoke) Road, Klongtoey Nua, Wattana 10110",Bangkok,"088-559-5536,",,
อาษา 1-0064,"Oriental Studio Co., Ltd.","151/8-9 The Trust Residence Pinklao Building, 1st Floor, Borommaratchachonnani Road, Arun Amarin, Bangkok Noi 10700",Bangkok,"0-2409-4248-9, 08-1826-2824",,
อาษา 1-0204,"KTGY Inter Associates Co., Ltd.","Sorachai Building, 32nd Floor, 23/128-131 Soi Sukhumvit 63, Sukhumvit Road, North Klongton, Wattana 10110",Bangkok,0-2392-9944,,www.ktgyinterassoc.com
อาษา 1-0290,"Studio Dimension Co., Ltd.","7 Krittikorn Village Soi Naknivas 25 Naknivas Road, Ladprao Subdistrict, Ladprao District 10230",Bangkok,"0-2530-3279,",,"www.studiomiti.com, FB: studiomiti"
อาษา 1-0319,"APP Estate Co., Ltd.","9/163 Soi Vibhavadi Intersection 64, Intersection 13, Bang Khen Sub-district, Laksi District 10210",Bangkok,"080-268-2888,",,www.appestate.info
อาษา 1-0265,"Atom design Co., Ltd.","123/4 Nonsi Road, Chuang Nonsi Subdistrict, Yannawa District 10120",Bangkok,"0-2105-4630, 09-5365-8858",,
อาษา 3-0252,"Project Alliance Co., Ltd.","128/68 Room 6O, 6th Floor, Phayathai Plaza Building, Phayathai Road, Thung Phayathai, Ratchathewi 10400",Bangkok,"0-2612-9551, 09-1808-3798",,www.projectalliance.co.th
อาษา 1-0179,"Vaslab Co., Ltd.","344 Soi Sukhumvit 101, Sukhumvit Road, Bangchak, Prakanong 10260",Bangkok,"0-2741-8099, 08-1875-9457",,www.vaslabarchitecture.com
อาษา 1-0014,"Architect one hundred and ten Co., Ltd.","3388/70-71 Sirinrat Building, 20th Floor, Rama IV Road, Klongton, Klongtoey 10110",Bangkok,"0-2367-5788, 08-1813-4524",,www.architects110.com
อาษา 1-0193,"iView Design Studio Co., Ltd.","52/40 Moo 3, Krungthep Kreetha 15 Rd., Saphansung 10250",Bangkok,0-2736-1130-2,,www.iwilldesign.co.th
อาษา 1-0279,"Convert Co., Ltd.","765/14 Father Khun Road, Wiang Subdistrict, Mueang District, Chiang Rai 57000",Chiang Mai Province,"053-601-489, 09-7924-8998",,www.plangguy.com
อาษา 1-0311,"NPPN Design and Research Co., Ltd.","11/1 AIA Sathorn Tower (Room 9009), South Sathorn Road, Yannawa, Sathorn 10120",Bangkok,"089-126-5637,",,nppn-company.com
อาษา 1-0312,"Contour A Co., Ltd.","865 Pattanakarn Road, Suan Luang Subdistrict, Suan Luang 10250",Bangkok,"02-3193240, 084-019-3028,",,
