Name,Title,Company
Carlos Abade,President,Turismo de Portugal
Hirohide Abe,Managing Director,H.A. Advisors Ltd.
Mehvesh Mumtaz Ahmed,Vice President and Global Head of Social Impact,Rosewood Hotel Group
Tareq Al Shagrood,General Manager of Investment Planning & Attraction,"Ministry of Tourism, Saudi Arabia"
Engr. Sultan Al-Shehri,Chief of Investment,Aseer Development Authority
Tim Alpe,Managing Director,TriO Capital
Patrick Andres,"Regional Vice-President, Hotels JAPAC - Oracle Hospitality",Oracle
Tareq Bagaeen,Senior Consultant,Hotstats
Taimur Baig,"Managing Director and Chief Economist, Group Research",DBS Bank Ltd
Carmen Bardaji Garcia,Business Development Director,Sunset Hospitality Group
Chris Batterham,Chief Development Officer,La Vie Hotels and Resorts
Chris Batterham,Chief Development Officer,La Vie Hotels & Resorts
Siew Kim Beh,"Chief Financial & Sustainability Officer, Lodging / Managing Director, Japan and South Korea",CapitaLand Investment Ltd /The Ascott Ltd
Rene Beil,President,HAMA MEA
Kieran Bestall,"Managing Director, Private Equity",Ares Management Corporation
Anmol Bhojwani,"Head of Development, Asia Pacific & Middle East",Generator
Matthew Burke,"Regional Director – Pacific, Japan & Central South Asia",STR
Steve Carroll,"Head of Hotels and Hospitality Capital Markets, Asia Pacific",CBRE
Hok Yean Chee,President,HVS Asia Pacific
Shaman Chellaram,Senior Director - Asia | Hotel Advisory | Valuation & Advisory Services,Colliers
Suchad Chiaranussati,Chairman & Founder,SC Capital Partners
Peng Sum Choe,Chief Executive Officer,Pan Pacific Hotels Group
Bousserind (Bou) Comson,Director of Hotel Intelligence – APAC,Hotstats
Diana Wu David,CEO,The Future Proof Lab
Kusumine Enami,Managing Partner and Japan Representative,AB Capital
Sebastien Favre,"Vice President, Development Construction Project Management South East Asia & Pacific",Club Med
Ramzy Fenianos,"Chief Development Officer, APAC",Radisson Hotel Group
Chester Foo Ren Jie,Head of Investment,Frasers Property Group (Frasers Hospitality)
Hirohisa Fujimoto,"Vice President, Development, Japan & Micronesia",Hilton
Mauro Gasparotti,"Director, Savills Hotels, Asia Pacific",Savills
Kenneth Gaw,President and Managing Principal,Gaw Capital Partners
Jeremy Gillet,Chief Development Officer,Seibu Prince Hotels Worldwide Inc
Antonio Gonzalez,Chairman and Group CEO,Sunset Hospitality Group
Rohan Gopaldas,Asset Manager and Partner,Prospect Hotel Advisors
Lucia Grambalova,"Chief Investment Officer, Head of Asset Management",Hotel Capital Partners
Corey Hamabata,Managing Director,Rockpool Capital Limited & TREC Hospitality Investment
Ir. Rizki Handayani,Deputy Minister for Industry and Investment,"Ministry of Tourism and Creative Economy, Indonesia"
Dr Aron Harilela,Chairman and CEO,Harilela Hotels Limited
