File Name,Extracted Number
Invoice I.23.0005a Soho vintage furniture repair -  HPG.xlsx,No valid merged cell found or non-numeric value
I.20.0001 The Aberdeen Marina Club (Buru Umbrella Protective Cover).xls,No valid merged cell found or non-numeric value
I.20.0002 Hong Kong Golf & Tennis Academy (Sofa Cushion Cover).xls,No valid merged cell found or non-numeric value
I.20.0003 Eclipse Management Ltd (Repair Awning - McSorley's DB).xls,No valid merged cell found or non-numeric value
I.20.0004 Thicas Interiors Ltd (Repair P62 Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0005 Mr. Danny Zigal (303 Fabric Guard).xls,No valid merged cell found or non-numeric value
I.20.0006 The Hong Kong Golf Club (Chair Cushion).xls,No valid merged cell found or non-numeric value
I.20.0007 The Hong Kong Golf Club (Fiberglass Umbrella & Granite Base).xls,No valid merged cell found or non-numeric value
I.20.0008 The Peninsula Hong Kong (Wicker Furniture).xls,No valid merged cell found or non-numeric value
I.20.0009 Royal Hong Kong Yacht Club (Baby Chair Cover).xls,No valid merged cell found or non-numeric value
I.20.0010 Vanessa (Sunbrella Fabric).xls,No valid merged cell found or non-numeric value
I.20.0011 The Shek O Country Club (UV Protector for Table Top).xls,No valid merged cell found or non-numeric value
I.20.0012 Hong Kong Golf & Tennis Academy (Protective Cover).xls,No valid merged cell found or non-numeric value
I.20.0013 Hong Kong Golf & Tennis Academy (Protective Cover).xls,No valid merged cell found or non-numeric value
I.20.0014 Softworks Studio Ltd (Throw Pillow).xls,No valid merged cell found or non-numeric value
I.20.0015 Eclipse Management Ltd (Gear Box for Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0016 Grand Hyatt Hong Kong (Add a hood for Chair Cushion).xls,No valid merged cell found or non-numeric value
I.20.0017 HealthAsia Limited - Mr. Rupert (Replacement of Fabric Canopy for Awning).xls,No valid merged cell found or non-numeric value
I.20.0018 Shun Hing Wood Working Co Ltd (Sunbrella Sling Fabric).xls,No valid merged cell found or non-numeric value
I.20.0019 Grand Hyatt Hong Kong (Protective Cover for Sun Lounger).xls,No valid merged cell found or non-numeric value
I.20.0020 The Hong Kong Golf Club (Sunbrella Fabric).xls,No valid merged cell found or non-numeric value
I.20.0021 Perfectech Group (303 Aerospace Protectant).xls,No valid merged cell found or non-numeric value
I.20.0022 Eclipse Management Ltd (Repair Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0023 JW Marriott Hotel Hong Kong (Chair Cushion & Pillow).xls,No valid merged cell found or non-numeric value
I.20.0024 Ms. Mae Lo (Throw Pillow).xls,No valid merged cell found or non-numeric value
I.20.0025 The Hong Kong Country Club (Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0026 Hong Kong Golf & Tennis Academy (Sofa Cushion Cover).xls,No valid merged cell found or non-numeric value
I.20.0027 Hong Kong Golf & Tennis Academy (Protective Cover).xls,No valid merged cell found or non-numeric value
I.20.0028 Mr. Grant Horsfield (Pergola - Eqotek).xls,No valid merged cell found or non-numeric value
I.20.0029 Better Chance Company Ltd (Fixed Awning).xls,No valid merged cell found or non-numeric value
I.20.0030 GHC Kowloon Tong Limited (Sail Shade).xls,No valid merged cell found or non-numeric value
I.20.0031 MGM Macau (GRE25 Aluminum Square Umbrella & Granite Base).xls,No valid merged cell found or non-numeric value
I.20.0032 MGM Macau (Aruba Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0033 The Murray Hong Kong (Sunbrella Fabric 5461).xls,No valid merged cell found or non-numeric value
I.20.0034 The Shek O Country Club (Round Table & Larimar Dining Armchair).xls,No valid merged cell found or non-numeric value
I.20.0035 Mr. Jamot (Seat Cushion).xls,No valid merged cell found or non-numeric value
I.20.0036 The Peninsula Hong Kong (Glass Table Top).xls,No valid merged cell found or non-numeric value
I.20.0037 Grand Hyatt Macau (Aluminum Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0038 The Aberdeen Marina Club (Round Granite Base).xls,No valid merged cell found or non-numeric value
I.20.0039 Royal Hong Kong Yacht Club (Hardwood Umbrella Pole).xls,No valid merged cell found or non-numeric value
I.20.0040 Eclipse Management Ltd (Replacement of Fabric Canopy for Awning at The Jockey).xls,No valid merged cell found or non-numeric value
I.20.0041 Leigh Chiu Designs Ltd (Awning).xls,No valid merged cell found or non-numeric value
I.20.0042 YMCA of Hong Kong (Outdoor Table & Chair).xls,No valid merged cell found or non-numeric value
I.20.0043 Hong Kong Golf & Tennis Academy (Umbrella Cover).xls,No valid merged cell found or non-numeric value
I.20.0044 Kongdu Contracting Ltd (Agora Fabric).xls,No valid merged cell found or non-numeric value
I.20.0045 Steady Pool & Sauna Engineering Ltd (Prostor Umbrella).xls,No valid merged cell found or non-numeric value
I.20.0046 JW Marriott Hotel Hong Kong (Chair Cushion).xls,No valid merged cell found or non-numeric value
I.20.0047 Royal Hong Kong Yacht Club (Awning Repair).xls,No valid merged cell found or non-numeric value
I.20.0048 Le Meridien Cyberport (Chair & Bench Cushion).xls,No valid merged cell found or non-numeric value
I.21.0001 Miramar Global Sroucing Company Limited (Buru Umbrella Fabric Canopy).xls,No valid merged cell found or non-numeric value
I.21.0002 Miramar Global Sroucing Company Limited (Rain Gutter for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0003 Miramar Global Sroucing Company Limited (Custom made Umbrella Canopy).xls,No valid merged cell found or non-numeric value
I.21.0004 The Murray Hong Kong (Chair & Sofa Cushion & Cover).xls,No valid merged cell found or non-numeric value
I.21.0005 Hong Kong Golf & Tennis Academy (Protective Cover for Fire Pit).xls,No valid merged cell found or non-numeric value
I.21.0006 Leigh Chiu Designs Ltd (Umbrella Canopy & Cushion Cover).xls,No valid merged cell found or non-numeric value
I.21.0007 Promax Ltd (Grill Protective Cover).xls,No valid merged cell found or non-numeric value
I.21.0008 Royal Hong Kong Yacht Club (Hardwood Umbrella Pole).xls,No valid merged cell found or non-numeric value
I.21.0009 North Point Wharves Limited (Fiberglass Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0010 The Hong Kong Golf Club (Fiberglass Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0011 Parkview Group (Cushion Cover).xls,No valid merged cell found or non-numeric value
I.21.0012 Royal Hong Kong Yacht Club (Baby Chair Cover).xls,No valid merged cell found or non-numeric value
I.21.0013 Royal Hong Kong Yacht Club (Protective Cover for Prostor Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0014 The Hong Kong Country Club (Replace Screw Knob for Buru Umbrella).xls,No valid merged cell found or non-numeric value
I.21.0015 Royal Hong Kong Yacht Club (Protective Cover for Sideboard).xls,No valid merged cell found or non-numeric value
